RPID,LETTER_CODE,"SHORT_NAME","LONG_NAME",AUTOMATED_SHORT_NAME,AUTOMATED_LONG_NAME,AUTOMATED_LONG_DESCRIPTION,STATUS,STATUS_REASON,STATUS_TEXT,CHANGE_TYPE,"CHANGE_REASON_PUBLIC",EXPORTED_TO_LOINC,MODALITY,PLAYBOOK_TYPE,POPULATION,BODY_REGION,BODY_REGION_2,BODY_REGION_3,BODY_REGION_4,BODY_REGION_5,MODALITY_MODIFIER,MODALITY_MODIFIER_2,MODALITY_MODIFIER_3,PROCEDURE_MODIFIER,PROCEDURE_MODIFIER_2,ANATOMIC_FOCUS,ANATOMIC_FOCUS_2,LATERALITY,REASON_FOR_EXAM,REASON_FOR_EXAM_2,REASON_FOR_EXAM_3,TECHNIQUE,PHARMACEUTICAL,PHARMACEUTICAL_2,VIEW,VIEW_2,VIEW_3,VIEW_4,,RIDS
RPID454,MRXX3D,"MR 3D","MR Post Processing",MR 3D IMAGE,MR 3D IMAGING PROCESSING,A magnetic resonance  RADIOLOGY ORDERABLE 3D IMAGING PROCESSING procedure focused on the,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, , , , , , ,3D IMAGING PROCESSING, , , , , , , , , , , , , , , , , , ,RID10312|RID13060|0|0|0|0|0|0|RID36017|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID455,MRUECA,"MR Arm Angio w/wo","MR Upper Extremity Angio w and wo IV Contrast",MR UE ANGIO WO & W IVCON,MR UPPER EXTREMITY ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the UPPER EXTREMITY WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,UPPER EXTREMITY, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1850|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID456,,"","",MR ABD ANGIO,MR ABDOMEN ANGIOGRAPHY,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the ABDOMEN,ACTIVE,,"",,"",FALSE,MR,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,ANGIOGRAPHY, , , , , , , , , , , , , , , , , , ,RID10312|RID13060|0|RID56|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID457,MRABCA,"MR Abd Angio w/wo","MR Abdomen Angio w and wo IV Contrast",MR ABD ANGIO WO & W IVCON,MR ABDOMEN ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the ABDOMEN WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,ABDOMEN, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID56|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID458,,"","",MR CHST ANGIO,MR CHEST ANGIOGRAPHY,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the CHEST,ACTIVE,,"",,"",FALSE,MR,RADIOLOGY ORDERABLE, ,CHEST, , , , ,ANGIOGRAPHY, , , , , , , , , , , , , , , , , , ,RID10312|RID13060|0|RID1243|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID459,MRCHCA,"MR Chest Angio w/wo","MR Chest Angio w and wo IV Contrast",MR CHST ANGIO WO & W IVCON,MR CHEST ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the CHEST WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,CHEST, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID1243|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID460,,"","",MR HEAD ANGIO,MR HEAD ANGIOGRAPHY,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the HEAD,ACTIVE,,"",,"",FALSE,MR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,ANGIOGRAPHY, , , , , , , , , , , , , , , , , , ,RID10312|RID13060|0|RID9080|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
RPID461,MRHDEA,"MR Head Angio w/wo","MR Head Angio w and wo IV Contrast",MR HEAD ANGIO WO & W IVCON,MR HEAD ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the HEAD WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID9080|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID462,MRHDUA,"MR Head Angio wo","MR Head Angio wo IV Contrast",MR HEAD ANGIO WO IVCON,MR HEAD ANGIOGRAPHY WITHOUT IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the HEAD WITHOUT IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,HEAD, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID9080|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID463,MRLECA,"MR Leg Angio w/wo","MR Lower Extremity Angio w and wo IV Contrast",MR LE ANGIO WO & W IVCON,MR LOWER EXTREMITY ANGIOGRAPHY WITHOUT THEN WITH IV CONTRAST,A magnetic resonance  RADIOLOGY ORDERABLE ANGIOGRAPHY procedure focused on the LOWER EXTREMITY WITHOUT THEN WITH IV CONTRAST,ACTIVE,,"",,"",TRUE,MR,RADIOLOGY ORDERABLE, ,LOWER EXTREMITY, , , , ,ANGIOGRAPHY, , , , , , , , , , , ,WITHOUT THEN WITH IV CONTRAST, , , , , , ,RID10312|RID13060|0|RID2638|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
